Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
0           inf         inf         6.68        nan         
1           18.44       13.98       6.68        1.65        
2           18.19       13.78       6.68        1.51        
3           16.89       13.60       6.68        1.43        
4           16.39       13.39       6.68        1.39        
5           16.25       13.28       6.68        1.36        
6           16.20       13.16       6.68        1.31        
7           16.10       13.06       6.68        1.25        
8           16.10       12.96       6.68        1.24        
9           15.26       12.84       6.68        1.21        
10          15.15       12.75       6.68        1.17        
11          15.01       12.67       6.68        1.15        
12          15.00       12.60       6.68        1.12        
13          14.68       12.52       6.68        1.12        
14          14.68       12.47       6.68        1.10        
15          14.68       12.40       6.68        1.11        
16          14.68       12.35       6.68        1.10        
17          14.68       12.31       6.68        1.09        
18          14.58       12.26       6.68        1.08        
19          14.33       12.20       6.68        1.06        
20          14.24       12.13       6.68        1.05        
21          14.24       12.08       6.68        1.06        
22          14.24       12.02       6.68        1.06        
23          14.24       11.99       6.68        1.06        
24          14.24       11.95       6.68        1.07        
25          14.24       11.91       6.68        1.06        
26          14.24       11.85       6.68        1.06        
27          14.24       11.78       6.68        1.08        
28          14.23       11.74       6.68        1.09        
29          14.23       11.71       6.68        1.08        
30          14.23       11.67       6.68        1.09        
31          14.23       11.64       6.68        1.08        
32          13.86       11.60       6.68        1.07        
33          13.86       11.56       6.68        1.09        
34          13.86       11.53       6.68        1.08        
35          13.86       11.49       6.68        1.08        
36          13.86       11.46       6.68        1.08        
37          13.42       11.42       6.68        1.07        
38          13.42       11.38       6.68        1.07        
39          13.42       11.35       6.68        1.07        
40          13.42       11.32       6.68        1.05        
41          13.42       11.27       6.68        1.05        
42          13.42       11.20       6.68        1.06        
43          13.33       11.15       6.68        1.05        
44          13.33       11.13       6.68        1.05        
45          13.33       11.11       6.68        1.04        
46          13.33       11.07       6.68        1.04        
47          13.33       11.05       6.68        1.03        
48          13.33       11.02       6.68        1.03        
49          13.33       10.99       6.68        1.03        
50          13.33       10.97       6.68        1.03        
51          13.33       10.94       6.68        1.04        
52          13.33       10.91       6.68        1.04        
53          13.33       10.88       6.68        1.04        
54          13.33       10.85       6.68        1.05        
55          13.33       10.83       6.68        1.04        
56          13.33       10.78       6.68        1.04        
57          13.33       10.77       6.68        1.03        
58          13.29       10.73       6.68        1.03        
59          13.29       10.71       6.68        1.03        
60          13.29       10.69       6.68        1.03        
61          13.29       10.67       6.68        1.03        
62          13.29       10.65       6.68        1.02        
63          13.29       10.64       6.68        1.02        
64          13.29       10.62       6.68        1.02        
65          13.29       10.60       6.68        1.02        
66          13.29       10.58       6.68        1.02        
67          13.29       10.57       6.68        1.02        
68          13.29       10.54       6.68        1.01        
69          13.12       10.51       6.68        1.03        
70          13.12       10.47       5.77        1.05        
71          13.03       10.46       5.77        1.04        
72          12.86       10.45       5.77        1.04        
73          12.84       10.44       5.77        1.03        
74          12.84       10.43       5.77        1.02        
75          12.84       10.42       5.77        1.02        
76          12.84       10.41       5.77        1.01        
77          12.84       10.41       5.77        1.01        
78          12.84       10.39       5.77        1.01        
79          12.84       10.38       5.77        1.01        
80          12.84       10.38       5.77        1.01        
81          12.81       10.36       5.77        1.01        
82          12.54       10.35       5.77        1.00        
83          12.54       10.35       5.77        1.00        
84          12.54       10.33       5.77        1.00        
85          12.54       10.32       5.77        1.00        
86          12.54       10.31       5.77        1.00        
87          12.54       10.30       5.77        1.00        
88          12.54       10.29       5.77        1.00        
89          12.44       10.28       5.77        0.99        
90          12.44       10.26       5.77        1.00        
91          12.34       10.25       5.77        0.99        
92          12.34       10.24       5.77        0.99        
93          12.34       10.23       5.77        0.99        
94          12.34       10.22       5.77        0.98        
95          12.34       10.20       5.77        0.98        
96          12.34       10.19       5.77        0.98        
97          12.34       10.18       5.77        0.97        
98          12.34       10.16       5.77        0.97        
99          12.34       10.14       5.77        0.97        
100         12.34       10.13       5.77        0.96        
101         12.34       10.12       5.77        0.96        
102         12.34       10.11       5.77        0.96        
103         12.15       10.09       5.77        0.96        
104         12.15       10.08       5.77        0.96        
105         12.15       10.07       5.77        0.96        
106         12.06       10.06       5.77        0.96        
107         12.06       10.05       5.77        0.97        
108         12.06       10.05       5.77        0.96        
109         12.06       10.03       5.77        0.98        
110         12.06       10.03       5.77        0.98        
111         12.06       10.03       5.77        0.97        
112         12.06       10.02       5.77        0.97        
113         12.06       10.01       5.77        0.97        
114         12.06       10.01       5.77        0.97        
115         12.06       10.01       5.77        0.97        
116         12.06       10.00       5.77        0.96        
117         12.06       9.99        5.77        0.96        
118         12.06       9.99        5.77        0.96        
119         12.06       9.97        5.77        0.97        
120         12.06       9.96        5.77        0.97        
121         12.06       9.95        5.77        0.97        
122         12.06       9.94        5.77        0.97        
123         12.03       9.92        5.77        0.98        
124         12.03       9.92        5.77        0.99        
125         12.03       9.91        5.77        0.99        
126         12.03       9.90        5.77        0.98        
127         12.03       9.89        5.77        0.98        
128         12.03       9.89        5.77        0.99        
129         12.03       9.87        5.77        1.00        
130         12.03       9.86        5.77        0.99        
131         12.03       9.86        5.77        0.99        
132         12.03       9.85        5.77        0.99        
133         12.03       9.85        5.77        0.99        
134         12.03       9.83        5.77        0.99        
135         12.03       9.82        5.77        0.99        
136         12.03       9.81        5.77        0.99        
137         11.96       9.80        5.77        0.98        
138         11.91       9.79        5.77        0.97        
139         11.91       9.78        5.77        0.98        
140         11.91       9.77        5.77        0.98        
141         11.91       9.77        5.77        0.98        
142         11.91       9.77        5.77        0.97        
143         11.91       9.77        5.77        0.97        
144         11.91       9.76        5.77        0.97        
145         11.91       9.76        5.77        0.97        
146         11.91       9.76        5.77        0.97        
147         11.91       9.76        5.77        0.97        
148         11.91       9.76        5.77        0.97        
149         11.91       9.75        5.77        0.97        
150         11.91       9.75        5.77        0.97        
151         11.91       9.74        5.77        0.97        
152         11.90       9.73        5.77        0.97        
153         11.87       9.73        5.77        0.97        
154         11.87       9.72        5.77        0.97        
155         11.87       9.71        5.77        0.97        
156         11.87       9.71        5.77        0.97        
157         11.87       9.71        5.77        0.97        
158         11.87       9.70        5.77        0.97        
159         11.87       9.70        5.77        0.97        
160         11.87       9.69        5.77        0.98        
161         11.87       9.68        5.77        0.98        
162         11.87       9.67        5.77        0.98        
163         11.87       9.67        5.77        0.97        
164         11.87       9.66        5.77        0.97        
165         11.87       9.66        5.77        0.97        
166         11.87       9.65        5.77        0.97        
167         11.87       9.65        5.77        0.97        
168         11.87       9.64        5.77        0.97        
169         11.87       9.63        5.77        0.97        
170         11.87       9.63        5.77        0.97        
171         11.87       9.62        5.77        0.97        
172         11.87       9.62        5.77        0.97        
173         11.87       9.62        5.77        0.97        
174         11.87       9.62        5.77        0.97        
175         11.87       9.61        5.77        0.97        
176         11.87       9.60        5.77        0.96        
177         11.87       9.60        5.77        0.96        
178         11.87       9.59        5.77        0.97        
179         11.87       9.58        5.77        0.97        
180         11.87       9.57        5.77        0.98        
181         11.87       9.57        5.77        0.98        
182         11.87       9.56        5.77        0.98        
183         11.87       9.55        5.77        0.98        
184         11.87       9.54        5.77        0.99        
185         11.87       9.54        5.77        0.99        
186         11.87       9.54        5.77        0.99        
187         11.87       9.52        5.77        0.99        
188         11.87       9.52        5.77        0.99        
189         11.87       9.50        5.77        1.00        
190         11.87       9.50        5.77        1.00        
191         11.87       9.49        5.77        1.00        
192         11.87       9.48        5.77        1.00        
193         11.87       9.48        5.77        1.00        
194         11.87       9.48        5.77        1.00        
195         11.87       9.48        5.77        1.00        
196         11.87       9.48        5.77        1.00        
197         11.87       9.48        5.77        0.99        
198         11.87       9.48        5.77        0.99        
199         11.87       9.47        5.77        0.99        
200         11.87       9.47        5.77        0.99        
201         11.87       9.46        5.77        1.00        
202         11.87       9.45        5.77        1.00        
203         11.87       9.45        5.77        1.00        
204         11.57       9.45        5.77        0.99        
205         11.57       9.44        5.77        0.99        
