Error Distribution Results
Graph Size: 2390
Number of Instances: 50

Error Statistics:
Mean Error: nan
Std Error: nan
Mean Relative Error: nan%
Max Relative Error: nan%

Instance  GA             Exact          Error          Relative Error %
0         68.00          51.00          17.00          33.33          
1         82.00          74.00          8.00           10.81          
2         94.00          85.00          9.00           10.59          
3         81.00          62.00          19.00          30.65          
4         63.00          51.00          12.00          23.53          
5         82.00          74.00          8.00           10.81          
6         51.00          35.00          16.00          45.71          
7         50.00          34.00          16.00          47.06          
8         53.00          41.00          12.00          29.27          
9         86.00          67.00          19.00          28.36          
10        118.00         101.00         17.00          16.83          
11        84.00          67.00          17.00          25.37          
12        66.00          55.00          11.00          20.00          
13        72.00          52.00          20.00          38.46          
14        64.00          51.00          13.00          25.49          
15        87.00          72.00          15.00          20.83          
16        71.00          61.00          10.00          16.39          
17        71.00          53.00          18.00          33.96          
18        73.00          62.00          11.00          17.74          
19        85.00          81.00          4.00           4.94           
20        107.00         98.00          9.00           9.18           
21        55.00          44.00          11.00          25.00          
22        77.00          72.00          5.00           6.94           
23        130.00         112.00         18.00          16.07          
24        67.00          55.00          12.00          21.82          
25        70.00          56.00          14.00          25.00          
26        68.00          51.00          17.00          33.33          
27        81.00          66.00          15.00          22.73          
28        87.00          71.00          16.00          22.54          
29        91.00          76.00          15.00          19.74          
30        104.00         82.00          22.00          26.83          
31        66.00          52.00          14.00          26.92          
32        84.00          66.00          18.00          27.27          
33        86.00          67.00          19.00          28.36          
34        71.00          60.00          11.00          18.33          
35        108.00         94.00          14.00          14.89          
36        73.00          46.00          27.00          58.70          
37        64.00          50.00          14.00          28.00          
38        53.00          46.00          7.00           15.22          
39        73.00          64.00          9.00           14.06          
40        71.00          64.00          7.00           10.94          
41        77.00          69.00          8.00           11.59          
42        86.00          74.00          12.00          16.22          
43        54.00          44.00          10.00          22.73          
44        inf            inf            nan            nan            
45        96.00          82.00          14.00          17.07          
46        91.00          80.00          11.00          13.75          
47        89.00          75.00          14.00          18.67          
48        77.00          59.00          18.00          30.51          
49        105.00         91.00          14.00          15.38          
