Error Distribution Results
Graph Size: 3002
Number of Instances: 50

Error Statistics:
Mean Error: nan
Std Error: nan
Mean Relative Error: nan%
Max Relative Error: nan%

Instance  GA             Exact          Error          Relative Error %
0         110.00         81.00          29.00          35.80          
1         62.00          48.00          14.00          29.17          
2         86.00          74.00          12.00          16.22          
3         95.00          83.00          12.00          14.46          
4         59.00          53.00          6.00           11.32          
5         95.00          82.00          13.00          15.85          
6         94.00          77.00          17.00          22.08          
7         83.00          70.00          13.00          18.57          
8         94.00          65.00          29.00          44.62          
9         86.00          72.00          14.00          19.44          
10        100.00         71.00          29.00          40.85          
11        109.00         86.00          23.00          26.74          
12        88.00          66.00          22.00          33.33          
13        79.00          52.00          27.00          51.92          
14        86.00          67.00          19.00          28.36          
15        82.00          51.00          31.00          60.78          
16        98.00          85.00          13.00          15.29          
17        100.00         86.00          14.00          16.28          
18        78.00          57.00          21.00          36.84          
19        72.00          65.00          7.00           10.77          
20        109.00         97.00          12.00          12.37          
21        83.00          56.00          27.00          48.21          
22        inf            inf            nan            nan            
23        89.00          67.00          22.00          32.84          
24        98.00          73.00          25.00          34.25          
25        115.00         91.00          24.00          26.37          
26        inf            inf            nan            nan            
27        78.00          60.00          18.00          30.00          
28        87.00          69.00          18.00          26.09          
29        103.00         81.00          22.00          27.16          
30        80.00          69.00          11.00          15.94          
31        70.00          52.00          18.00          34.62          
32        105.00         88.00          17.00          19.32          
33        102.00         83.00          19.00          22.89          
34        82.00          69.00          13.00          18.84          
35        63.00          48.00          15.00          31.25          
36        78.00          49.00          29.00          59.18          
37        97.00          78.00          19.00          24.36          
38        76.00          70.00          6.00           8.57           
39        inf            inf            nan            nan            
40        71.00          58.00          13.00          22.41          
41        82.00          66.00          16.00          24.24          
42        88.00          73.00          15.00          20.55          
43        111.00         92.00          19.00          20.65          
44        62.00          40.00          22.00          55.00          
45        112.00         87.00          25.00          28.74          
46        74.00          58.00          16.00          27.59          
47        96.00          84.00          12.00          14.29          
48        79.00          62.00          17.00          27.42          
49        98.00          83.00          15.00          18.07          
