Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 0.6024
Std Error: 0.6469
Mean Relative Error: 8.60%
Max Relative Error: 39.91%

Instance  GA             Exact          Error          Relative Error %
0         7.05           7.05           0.00           0.00           
1         5.92           5.17           0.75           14.52          
2         7.75           6.97           0.78           11.23          
3         7.07           6.53           0.53           8.14           
4         8.63           6.72           1.91           28.41          
5         8.44           7.49           0.96           12.75          
6         8.98           7.94           1.04           13.04          
7         7.52           7.52           0.00           0.00           
8         6.44           6.44           0.00           0.00           
9         6.42           6.42           0.00           0.00           
10        6.53           6.53           0.00           0.00           
11        6.51           6.51           0.00           0.00           
12        8.49           8.40           0.09           1.10           
13        8.50           7.67           0.83           10.82          
14        8.13           8.09           0.04           0.46           
15        7.07           7.06           0.01           0.08           
16        7.55           7.23           0.32           4.47           
17        9.03           7.62           1.41           18.45          
18        8.69           7.50           1.19           15.85          
19        7.09           6.46           0.64           9.84           
20        5.48           5.48           0.00           0.00           
21        6.96           6.96           0.00           0.00           
22        7.41           7.41           0.00           0.00           
23        7.11           6.50           0.61           9.38           
24        5.96           5.68           0.28           4.92           
25        8.90           6.99           1.91           27.32          
26        8.04           7.29           0.75           10.27          
27        7.82           7.15           0.67           9.42           
28        7.67           7.67           0.00           0.00           
29        6.92           6.62           0.30           4.49           
30        9.19           6.68           2.51           37.60          
31        8.68           8.30           0.38           4.58           
32        7.90           7.75           0.15           2.00           
33        6.63           5.34           1.28           24.05          
34        8.35           7.83           0.52           6.61           
35        7.79           7.79           0.00           0.00           
36        8.44           7.88           0.56           7.17           
37        7.80           7.23           0.57           7.93           
38        8.68           7.65           1.03           13.51          
39        7.71           7.43           0.28           3.83           
40        9.91           7.08           2.83           39.91          
41        8.78           7.34           1.44           19.58          
42        6.44           6.37           0.07           1.06           
43        7.75           7.55           0.20           2.62           
44        8.16           7.59           0.58           7.63           
45        7.89           7.58           0.31           4.03           
46        8.55           7.98           0.57           7.16           
47        7.59           6.84           0.75           10.91          
48        8.43           7.86           0.58           7.35           
49        7.26           6.75           0.50           7.47           
