Error Distribution Results
Graph Size: 10
Number of Instances: 50
Population Size: 20
Generation: 250

Error Statistics:
Mean Error: 0.0247
Std Error: 0.0782
Mean Relative Error: 0.18%
Max Relative Error: 2.16%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         12.53          12.53          0.00           0.00           
2         10.03          10.03          0.00           0.00           
3         11.15          11.15          0.00           0.00           
4         11.50          11.29          0.21           1.89           
5         10.59          10.59          0.00           0.00           
6         11.76          11.76          0.00           0.00           
7         13.14          13.14          0.00           0.00           
8         19.15          18.76          0.40           2.11           
9         8.64           8.64           0.00           0.00           
10        5.86           5.86           0.00           0.00           
11        9.99           9.99           0.00           0.00           
12        8.27           8.27           0.00           0.00           
13        8.20           8.20           0.00           0.00           
14        12.76          12.76          0.00           0.00           
15        14.10          13.94          0.17           1.21           
16        7.11           7.11           0.00           0.00           
17        12.10          11.88          0.22           1.84           
18        9.41           9.41           0.00           0.00           
19        8.92           8.92           0.00           0.00           
20        9.21           9.21           0.00           0.00           
21        10.23          10.23          0.00           0.00           
22        8.74           8.74           0.00           0.00           
23        8.67           8.67           0.00           0.00           
24        10.14          10.14          0.00           0.00           
25        8.06           8.06           0.00           0.00           
26        15.28          15.28          0.00           0.00           
27        7.29           7.29           0.00           0.00           
28        8.16           8.16           0.00           0.00           
29        11.12          11.12          0.00           0.00           
30        5.59           5.59           0.00           0.00           
31        9.52           9.52           0.00           0.00           
32        10.54          10.54          0.00           0.00           
33        14.04          14.04          0.00           0.00           
34        13.29          13.29          0.00           0.00           
35        12.44          12.44          0.00           0.00           
36        9.77           9.77           0.00           0.00           
37        10.81          10.81          0.00           0.00           
38        8.82           8.82           0.00           0.00           
39        8.23           8.23           0.00           0.00           
40        9.12           9.12           0.00           0.00           
41        12.01          12.01          0.00           0.00           
42        8.01           8.01           0.00           0.00           
43        7.40           7.40           0.00           0.00           
44        14.73          14.73          0.00           0.00           
45        6.60           6.60           0.00           0.00           
46        11.50          11.25          0.24           2.16           
47        10.21          10.21          0.00           0.00           
48        13.28          13.28          0.00           0.00           
49        9.80           9.80           0.00           0.00           
