Error Distribution Results
Graph Size: 25
Number of Instances: 50

Error Statistics:
Mean Error: 0.0114
Std Error: 0.0434
Mean Relative Error: 0.13%
Max Relative Error: 2.81%

Instance  GA             Exact          Error          Relative Error %
0         10.16          9.97           0.19           1.92           
1         6.54           6.54           0.00           0.00           
2         10.10          10.10          0.00           0.00           
3         6.31           6.31           0.00           0.00           
4         9.60           9.60           0.00           0.00           
5         8.56           8.56           0.00           0.00           
6         7.39           7.39           0.00           0.00           
7         8.32           8.32           0.00           0.00           
8         11.35          11.35          0.00           0.00           
9         8.56           8.56           0.00           0.00           
10        9.31           9.31           0.00           0.00           
11        7.65           7.65           0.00           0.00           
12        6.12           6.12           0.00           0.00           
13        7.71           7.71           0.00           0.00           
14        6.93           6.93           0.00           0.00           
15        7.79           7.79           0.00           0.00           
16        10.64          10.64          0.00           0.00           
17        9.17           9.06           0.12           1.31           
18        9.78           9.78           0.00           0.00           
19        7.29           7.29           0.00           0.00           
20        9.21           9.21           0.00           0.00           
21        8.07           7.85           0.22           2.81           
22        10.18          10.18          0.00           0.00           
23        9.97           9.97           0.00           0.00           
24        9.56           9.56           0.00           0.00           
25        10.98          10.98          0.00           0.00           
26        9.84           9.84           0.00           0.00           
27        11.09          11.09          0.00           0.00           
28        7.02           7.02           0.00           0.00           
29        10.89          10.89          0.00           0.00           
30        7.51           7.51           0.00           0.00           
31        6.79           6.79           0.00           0.00           
32        8.64           8.64           0.00           0.00           
33        10.81          10.81          0.00           0.00           
34        8.93           8.93           0.00           0.00           
35        8.76           8.76           0.00           0.00           
36        10.71          10.71          0.00           0.00           
37        10.79          10.79          0.00           0.00           
38        8.00           8.00           0.00           0.00           
39        8.09           8.09           0.00           0.00           
40        10.21          10.21          0.00           0.00           
41        10.47          10.47          0.00           0.00           
42        9.36           9.36           0.00           0.00           
43        8.57           8.53           0.04           0.46           
44        8.29           8.29           0.00           0.00           
45        8.53           8.53           0.00           0.00           
46        8.20           8.20           0.00           0.00           
47        8.85           8.85           0.00           0.00           
48        9.89           9.89           0.00           0.00           
49        8.33           8.33           0.00           0.00           
