Error Distribution Results
Graph Size: 10
Number of Instances: 50
Population Size: 5
Generation: 250

Error Statistics:
Mean Error: 0.0717
Std Error: 0.2293
Mean Relative Error: 0.78%
Max Relative Error: 14.47%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         7.96           7.96           0.00           0.00           
2         15.14          15.14          0.00           0.00           
3         8.09           8.09           0.00           0.00           
4         8.19           8.19           0.00           0.00           
5         9.95           8.69           1.26           14.47          
6         11.06          11.06          0.00           0.00           
7         4.69           4.69           0.00           0.00           
8         11.64          11.64          0.00           0.00           
9         6.17           6.17           0.00           0.00           
10        7.94           7.94           0.00           0.00           
11        8.55           8.55           0.00           0.00           
12        8.26           8.26           0.00           0.00           
13        9.66           9.66           0.00           0.00           
14        14.72          14.72          0.00           0.00           
15        6.66           6.66           0.00           0.00           
16        6.26           6.26           0.00           0.00           
17        12.19          12.19          0.00           0.00           
18        9.20           9.20           0.00           0.00           
19        5.23           5.23           0.00           0.00           
20        9.39           9.39           0.00           0.00           
21        10.07          10.07          0.00           0.00           
22        15.88          15.76          0.12           0.78           
23        11.81          11.08          0.74           6.64           
24        11.18          11.18          0.00           0.00           
25        13.05          13.05          0.00           0.00           
26        9.75           9.75           0.00           0.00           
27        7.05           7.05           0.00           0.00           
28        13.87          13.87          0.00           0.00           
29        6.44           6.44           0.00           0.00           
30        8.39           8.39           0.00           0.00           
31        10.70          10.70          0.00           0.00           
32        10.64          9.92           0.72           7.23           
33        9.09           9.09           0.00           0.00           
34        9.13           9.04           0.09           0.98           
35        11.19          11.19          0.00           0.00           
36        8.44           8.44           0.00           0.00           
37        6.84           6.84           0.00           0.00           
38        7.50           7.50           0.00           0.00           
39        8.65           8.37           0.28           3.29           
40        10.17          10.17          0.00           0.00           
41        9.13           9.13           0.00           0.00           
42        8.59           8.59           0.00           0.00           
43        16.23          16.23          0.00           0.00           
44        9.42           9.42           0.00           0.00           
45        7.27           7.27           0.00           0.00           
46        7.73           7.73           0.00           0.00           
47        7.50           7.11           0.39           5.45           
48        7.01           7.01           0.00           0.00           
49        6.15           6.15           0.00           0.00           
