Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 0.6893
Std Error: 0.6267
Mean Relative Error: 9.94%
Max Relative Error: 57.76%

Instance  GA             Exact          Error          Relative Error %
0         7.05           7.05           0.00           0.00           
1         8.28           7.05           1.22           17.37          
2         8.48           8.00           0.48           6.03           
3         7.95           7.95           0.00           0.00           
4         7.76           7.66           0.10           1.35           
5         9.09           8.18           0.91           11.15          
6         7.17           6.76           0.41           6.03           
7         6.46           6.44           0.02           0.29           
8         8.63           7.17           1.45           20.22          
9         5.47           5.47           0.00           0.00           
10        7.22           7.22           0.00           0.00           
11        5.67           5.67           0.00           0.00           
12        7.06           5.93           1.12           18.91          
13        8.05           8.05           0.00           0.00           
14        8.05           7.48           0.57           7.62           
15        7.19           6.67           0.52           7.77           
16        8.03           5.09           2.94           57.76          
17        8.30           7.71           0.59           7.61           
18        8.15           7.63           0.51           6.73           
19        9.72           8.58           1.14           13.32          
20        8.28           8.18           0.09           1.12           
21        7.04           7.04           0.00           0.00           
22        7.05           7.05           0.00           0.00           
23        8.24           6.78           1.46           21.57          
24        8.35           7.45           0.90           12.10          
25        7.27           7.07           0.20           2.82           
26        7.71           7.35           0.36           4.85           
27        8.69           7.64           1.06           13.86          
28        8.38           7.34           1.04           14.15          
29        7.58           7.58           0.00           0.00           
30        8.55           8.55           0.00           0.00           
31        7.94           6.98           0.96           13.72          
32        8.13           8.02           0.12           1.44           
33        8.29           7.01           1.28           18.20          
34        8.77           6.87           1.89           27.57          
35        8.02           7.01           1.00           14.32          
36        8.60           7.50           1.10           14.71          
37        7.74           6.64           1.10           16.60          
38        8.28           6.65           1.63           24.52          
39        7.62           6.20           1.42           22.85          
40        7.38           7.20           0.18           2.48           
41        8.11           7.12           0.99           13.90          
42        9.72           8.73           0.99           11.37          
43        7.70           7.44           0.26           3.43           
44        7.84           7.14           0.70           9.75           
45        7.38           6.66           0.72           10.85          
46        8.50           6.96           1.55           22.22          
47        5.83           5.83           0.00           0.00           
48        9.43           8.65           0.78           9.06           
49        10.08          9.38           0.70           7.43           
