Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 3.0942
Std Error: 0.9286
Mean Relative Error: 42.33%
Max Relative Error: 79.29%

Instance  GA             Exact          Error          Relative Error %
0         10.19          7.05           3.14           44.52          
1         10.80          8.41           2.39           28.42          
2         10.54          9.12           1.42           15.53          
3         10.48          6.12           4.36           71.25          
4         12.06          8.78           3.28           37.39          
5         10.61          7.07           3.54           50.15          
6         9.99           6.76           3.23           47.77          
7         10.59          8.27           2.32           28.00          
8         8.96           6.99           1.97           28.14          
9         10.89          7.93           2.96           37.38          
10        9.71           7.65           2.06           26.94          
11        10.91          7.00           3.91           55.90          
12        12.43          8.24           4.19           50.88          
13        11.34          7.36           3.98           54.12          
14        11.31          9.26           2.05           22.11          
15        9.86           7.47           2.39           31.94          
16        11.17          7.77           3.40           43.75          
17        9.20           7.31           1.89           25.89          
18        10.15          6.38           3.77           59.08          
19        9.06           7.43           1.62           21.83          
20        10.52          6.71           3.81           56.84          
21        12.45          7.66           4.79           62.53          
22        11.35          8.94           2.41           27.00          
23        11.10          7.87           3.23           41.05          
24        11.65          8.33           3.33           39.97          
25        10.67          8.32           2.35           28.25          
26        10.06          7.36           2.69           36.59          
27        10.58          8.39           2.19           26.06          
28        9.90           7.46           2.44           32.72          
29        11.17          7.46           3.70           49.64          
30        10.76          7.28           3.48           47.72          
31        10.98          7.95           3.02           38.03          
32        10.90          6.63           4.27           64.33          
33        11.78          8.64           3.15           36.45          
34        8.94           7.82           1.12           14.38          
35        9.35           5.40           3.95           73.11          
36        11.28          6.51           4.78           73.43          
37        10.83          8.50           2.34           27.49          
38        9.55           7.43           2.13           28.62          
39        10.83          7.20           3.64           50.59          
40        10.06          6.83           3.23           47.28          
41        10.88          7.19           3.69           51.27          
42        10.11          8.57           1.54           17.97          
43        10.88          6.83           4.05           59.26          
44        10.06          6.37           3.69           57.94          
45        12.32          8.06           4.26           52.81          
46        10.29          7.21           3.08           42.73          
47        10.38          5.79           4.59           79.29          
48        12.05          8.14           3.90           47.94          
49        10.29          8.30           1.99           24.04          
