Error Distribution Results
Graph Size: 10
Number of Instances: 50
Population Size: 10
Generation: 250

Error Statistics:
Mean Error: 0.0741
Std Error: 0.3012
Mean Relative Error: 0.75%
Max Relative Error: 16.97%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         13.11          13.11          0.00           0.00           
2         11.32          11.32          0.00           0.00           
3         10.53          10.53          0.00           0.00           
4         8.61           8.61           0.00           0.00           
5         9.33           9.33           0.00           0.00           
6         8.04           8.04           0.00           0.00           
7         11.89          11.89          0.00           0.00           
8         6.71           6.71           0.00           0.00           
9         8.92           8.92           0.00           0.00           
10        9.84           9.84           0.00           0.00           
11        4.54           4.54           0.00           0.00           
12        8.51           8.51           0.00           0.00           
13        12.66          12.66          0.00           0.00           
14        8.19           8.19           0.00           0.00           
15        8.86           8.86           0.00           0.00           
16        7.46           7.46           0.00           0.00           
17        10.12          10.12          0.00           0.00           
18        10.47          10.47          0.00           0.00           
19        6.85           6.85           0.00           0.00           
20        8.64           8.64           0.00           0.00           
21        16.68          16.68          0.00           0.00           
22        7.19           7.19           0.00           0.00           
23        6.31           6.31           0.00           0.00           
24        10.84          9.81           1.03           10.54          
25        13.06          13.06          0.00           0.00           
26        10.95          10.95          0.00           0.00           
27        5.81           5.81           0.00           0.00           
28        13.31          13.31          0.00           0.00           
29        11.32          11.32          0.00           0.00           
30        15.02          15.02          0.00           0.00           
31        11.58          10.54          1.05           9.92           
32        8.18           8.18           0.00           0.00           
33        9.30           9.30           0.00           0.00           
34        7.21           7.21           0.00           0.00           
35        9.54           9.54           0.00           0.00           
36        6.34           6.34           0.00           0.00           
37        11.22          9.59           1.63           16.97          
38        11.32          11.32          0.00           0.00           
39        7.63           7.63           0.00           0.00           
40        8.04           8.04           0.00           0.00           
41        10.82          10.82          0.00           0.00           
42        8.83           8.83           0.00           0.00           
43        8.90           8.90           0.00           0.00           
44        7.73           7.73           0.00           0.00           
45        7.68           7.68           0.00           0.00           
46        11.76          11.76          0.00           0.00           
47        16.85          16.85          0.00           0.00           
48        13.47          13.47          0.00           0.00           
49        12.26          12.26          0.00           0.00           
