Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 0.5539
Std Error: 0.5423
Mean Relative Error: 7.44%
Max Relative Error: 23.55%

Instance  GA             Exact          Error          Relative Error %
0         10.53          10.53          0.00           0.00           
1         9.35           7.94           1.41           17.74          
2         8.63           8.63           0.00           0.00           
3         9.15           9.15           0.00           0.00           
4         11.96          10.22          1.73           16.97          
5         5.19           5.19           0.00           0.00           
6         8.44           8.18           0.27           3.26           
7         5.23           4.67           0.56           11.93          
8         8.40           8.40           0.00           0.00           
9         11.56          10.32          1.25           12.08          
10        9.41           8.82           0.59           6.72           
11        8.45           8.45           0.00           0.00           
12        11.12          10.25          0.87           8.44           
13        7.21           5.87           1.34           22.80          
14        7.54           6.10           1.44           23.55          
15        8.14           7.65           0.49           6.42           
16        8.08           8.08           0.00           0.00           
17        8.41           8.13           0.28           3.45           
18        6.50           5.65           0.85           14.95          
19        7.19           6.75           0.44           6.51           
20        9.98           9.88           0.11           1.08           
21        7.24           7.24           0.00           0.00           
22        5.53           5.53           0.00           0.00           
23        8.37           7.06           1.31           18.61          
24        8.30           8.26           0.04           0.45           
25        9.17           8.55           0.63           7.33           
26        7.66           7.66           0.00           0.00           
27        9.22           9.22           0.00           0.00           
28        8.14           7.44           0.70           9.40           
29        7.63           6.39           1.24           19.46          
30        9.77           9.00           0.77           8.59           
31        8.19           7.95           0.24           2.99           
32        10.38          9.57           0.80           8.40           
33        7.92           7.73           0.19           2.42           
34        11.17          10.05          1.11           11.08          
35        6.69           6.04           0.65           10.72          
36        8.34           6.83           1.51           22.06          
37        6.61           6.61           0.00           0.00           
38        8.90           8.88           0.03           0.28           
39        8.32           7.03           1.29           18.34          
40        7.30           6.41           0.89           13.81          
41        9.12           8.46           0.65           7.73           
42        8.05           6.97           1.08           15.56          
43        6.72           6.57           0.15           2.31           
44        7.70           7.70           0.00           0.00           
45        9.31           9.31           0.00           0.00           
46        7.09           6.57           0.52           7.92           
47        9.26           7.57           1.70           22.44          
48        8.00           7.92           0.08           0.95           
49        10.18          9.67           0.51           5.24           
