Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 0.4848
Std Error: 0.5372
Mean Relative Error: 7.31%
Max Relative Error: 33.51%

Instance  GA             Exact          Error          Relative Error %
0         10.64          10.53          0.10           0.97           
1         9.10           8.88           0.21           2.40           
2         10.78          9.72           1.06           10.90          
3         8.88           8.73           0.15           1.71           
4         6.65           5.61           1.04           18.55          
5         5.34           5.22           0.11           2.19           
6         8.28           7.87           0.41           5.23           
7         8.45           8.45           0.00           0.00           
8         8.34           8.34           0.00           0.00           
9         8.61           8.61           0.00           0.00           
10        8.23           8.23           0.00           0.00           
11        8.90           8.61           0.30           3.46           
12        8.89           8.60           0.30           3.44           
13        8.31           6.47           1.83           28.35          
14        8.52           7.19           1.34           18.58          
15        9.09           8.73           0.36           4.10           
16        7.88           7.56           0.33           4.31           
17        7.46           5.79           1.67           28.93          
18        8.48           8.00           0.48           6.05           
19        7.93           7.62           0.31           4.06           
20        4.49           4.49           0.00           0.00           
21        7.20           5.46           1.74           31.87          
22        6.59           6.59           0.00           0.00           
23        7.83           7.83           0.00           0.00           
24        7.57           7.53           0.04           0.58           
25        7.61           7.10           0.51           7.22           
26        7.73           5.79           1.94           33.51          
27        6.87           6.87           0.00           0.00           
28        7.43           7.15           0.28           3.89           
29        9.56           9.15           0.41           4.51           
30        7.95           7.95           0.00           0.00           
31        7.70           6.99           0.71           10.21          
32        9.05           9.05           0.00           0.00           
33        8.70           8.70           0.00           0.00           
34        5.45           4.93           0.52           10.52          
35        8.91           8.25           0.66           8.03           
36        7.72           7.72           0.00           0.00           
37        7.62           7.03           0.59           8.43           
38        8.55           7.75           0.80           10.35          
39        7.93           6.83           1.10           16.05          
40        6.43           6.43           0.00           0.00           
41        9.54           9.08           0.46           5.04           
42        8.04           6.76           1.28           18.97          
43        8.19           8.19           0.00           0.00           
44        10.35          9.49           0.86           9.09           
45        8.47           7.79           0.68           8.71           
46        8.39           7.96           0.43           5.43           
47        4.75           3.74           1.01           26.98          
48        6.91           6.71           0.20           2.96           
49        6.89           6.89           0.00           0.00           
