Error Distribution Results
Graph Size: 25
Number of Instances: 50
Population Size: 25
Generation: 250

Error Statistics:
Mean Error: 0.0532
Std Error: 0.1606
Mean Relative Error: 0.58%
Max Relative Error: 10.89%

Instance  GA             Exact          Error          Relative Error %
0         10.16          9.97           0.19           1.92           
1         9.90           9.90           0.00           0.00           
2         9.00           9.00           0.00           0.00           
3         8.98           8.98           0.00           0.00           
4         9.36           9.36           0.00           0.00           
5         8.59           8.59           0.00           0.00           
6         7.09           7.09           0.00           0.00           
7         8.29           8.29           0.00           0.00           
8         8.43           8.43           0.00           0.00           
9         9.31           9.31           0.00           0.00           
10        7.73           7.73           0.00           0.00           
11        9.48           8.55           0.93           10.89          
12        7.67           7.67           0.00           0.00           
13        10.16          10.16          0.00           0.00           
14        6.20           6.20           0.00           0.00           
15        5.46           5.46           0.00           0.00           
16        11.12          11.12          0.00           0.00           
17        11.13          11.13          0.00           0.00           
18        9.55           9.24           0.31           3.35           
19        10.39          10.39          0.00           0.00           
20        10.27          10.27          0.00           0.00           
21        7.86           7.86           0.00           0.00           
22        9.93           9.93           0.00           0.00           
23        8.13           8.13           0.00           0.00           
24        8.30           8.30           0.00           0.00           
25        3.97           3.97           0.00           0.00           
26        9.37           9.37           0.00           0.00           
27        9.51           9.51           0.00           0.00           
28        8.86           8.86           0.00           0.00           
29        7.13           7.13           0.00           0.00           
30        8.59           8.59           0.00           0.00           
31        8.77           8.36           0.40           4.84           
32        9.13           9.13           0.00           0.00           
33        11.66          11.66          0.00           0.00           
34        11.49          11.49          0.00           0.00           
35        7.91           7.91           0.00           0.00           
36        8.65           8.60           0.05           0.54           
37        9.31           9.01           0.31           3.40           
38        12.77          12.36          0.41           3.30           
39        9.14           9.14           0.00           0.00           
40        5.23           5.23           0.00           0.00           
41        8.34           8.34           0.00           0.00           
42        10.98          10.92          0.06           0.54           
43        6.38           6.38           0.00           0.00           
44        7.61           7.61           0.00           0.00           
45        10.94          10.94          0.00           0.00           
46        8.95           8.95           0.00           0.00           
47        8.19           8.19           0.00           0.00           
48        8.55           8.55           0.00           0.00           
49        7.62           7.62           0.00           0.00           
