Error Distribution Results
Graph Size: 200
Number of Instances: 50

Error Statistics:
Mean Error: 2.1011
Std Error: 0.9138
Mean Relative Error: 31.67%
Max Relative Error: 66.14%

Instance  GA             Exact          Error          Relative Error %
0         9.34           6.56           2.79           42.49          
1         8.07           6.81           1.26           18.53          
2         7.63           5.15           2.47           48.03          
3         9.81           7.13           2.68           37.62          
4         8.84           7.20           1.63           22.68          
5         8.87           7.35           1.51           20.59          
6         10.64          6.92           3.71           53.64          
7         7.71           6.75           0.96           14.20          
8         8.30           5.58           2.72           48.64          
9         9.41           6.93           2.48           35.82          
10        8.24           6.84           1.40           20.54          
11        9.60           6.92           2.68           38.75          
12        7.96           6.29           1.67           26.60          
13        8.53           6.93           1.61           23.17          
14        8.20           6.78           1.42           20.96          
15        7.31           7.13           0.18           2.51           
16        10.52          7.57           2.95           38.99          
17        9.79           6.66           3.13           47.00          
18        8.25           6.70           1.56           23.23          
19        10.05          7.78           2.27           29.13          
20        8.98           7.06           1.92           27.13          
21        10.19          8.12           2.07           25.55          
22        9.68           6.50           3.18           48.87          
23        8.94           6.13           2.81           45.81          
24        8.40           6.82           1.58           23.11          
25        8.70           7.58           1.11           14.71          
26        8.51           6.73           1.77           26.37          
27        7.72           6.93           0.80           11.53          
28        7.19           6.75           0.45           6.63           
29        9.18           7.38           1.81           24.52          
30        8.37           5.96           2.41           40.52          
31        6.31           5.16           1.15           22.38          
32        8.12           7.38           0.74           10.02          
33        8.74           6.51           2.22           34.11          
34        9.73           6.45           3.28           50.87          
35        10.34          6.22           4.12           66.14          
36        9.21           6.41           2.79           43.58          
37        10.38          6.99           3.39           48.55          
38        8.73           6.77           1.96           29.02          
39        10.51          6.99           3.52           50.42          
40        9.50           6.75           2.75           40.83          
41        9.26           6.95           2.31           33.26          
42        7.26           6.94           0.32           4.66           
43        8.47           7.20           1.27           17.62          
44        8.76           5.85           2.92           49.89          
45        8.92           6.89           2.03           29.48          
46        9.06           6.35           2.71           42.66          
47        8.98           6.91           2.06           29.87          
48        7.41           6.20           1.21           19.58          
49        9.49           6.22           3.27           52.60          
