Error Distribution Results
Graph Size: 2390
Number of Instances: 50

Error Statistics:
Mean Error: nan
Std Error: nan
Mean Relative Error: nan%
Max Relative Error: nan%

Instance  GA             Exact          Error          Relative Error %
0         70.00          51.00          19.00          37.25          
1         82.00          74.00          8.00           10.81          
2         103.00         85.00          18.00          21.18          
3         84.00          62.00          22.00          35.48          
4         63.00          51.00          12.00          23.53          
5         90.00          74.00          16.00          21.62          
6         69.00          35.00          34.00          97.14          
7         63.00          34.00          29.00          85.29          
8         62.00          41.00          21.00          51.22          
9         86.00          67.00          19.00          28.36          
10        120.00         101.00         19.00          18.81          
11        91.00          67.00          24.00          35.82          
12        66.00          55.00          11.00          20.00          
13        72.00          52.00          20.00          38.46          
14        64.00          51.00          13.00          25.49          
15        87.00          72.00          15.00          20.83          
16        71.00          61.00          10.00          16.39          
17        71.00          53.00          18.00          33.96          
18        78.00          62.00          16.00          25.81          
19        85.00          81.00          4.00           4.94           
20        118.00         98.00          20.00          20.41          
21        55.00          44.00          11.00          25.00          
22        77.00          72.00          5.00           6.94           
23        130.00         112.00         18.00          16.07          
24        69.00          55.00          14.00          25.45          
25        77.00          56.00          21.00          37.50          
26        69.00          51.00          18.00          35.29          
27        81.00          66.00          15.00          22.73          
28        87.00          71.00          16.00          22.54          
29        91.00          76.00          15.00          19.74          
30        104.00         82.00          22.00          26.83          
31        66.00          52.00          14.00          26.92          
32        86.00          66.00          20.00          30.30          
33        90.00          67.00          23.00          34.33          
34        79.00          60.00          19.00          31.67          
35        108.00         94.00          14.00          14.89          
36        76.00          46.00          30.00          65.22          
37        76.00          50.00          26.00          52.00          
38        60.00          46.00          14.00          30.43          
39        79.00          64.00          15.00          23.44          
40        77.00          64.00          13.00          20.31          
41        77.00          69.00          8.00           11.59          
42        93.00          74.00          19.00          25.68          
43        58.00          44.00          14.00          31.82          
44        inf            inf            nan            nan            
45        99.00          82.00          17.00          20.73          
46        91.00          80.00          11.00          13.75          
47        89.00          75.00          14.00          18.67          
48        79.00          59.00          20.00          33.90          
49        108.00         91.00          17.00          18.68          
