Error Distribution Results
Graph Size: 3040
Number of Instances: 50

Error Statistics:
Mean Error: 18.0200
Std Error: 5.5659
Mean Relative Error: 26.58%
Max Relative Error: 58.93%

Instance  GA             Exact          Error          Relative Error %
0         92.00          77.00          15.00          19.48          
1         103.00         83.00          20.00          24.10          
2         83.00          55.00          28.00          50.91          
3         73.00          56.00          17.00          30.36          
4         95.00          69.00          26.00          37.68          
5         85.00          62.00          23.00          37.10          
6         71.00          61.00          10.00          16.39          
7         78.00          64.00          14.00          21.88          
8         96.00          83.00          13.00          15.66          
9         73.00          64.00          9.00           14.06          
10        79.00          65.00          14.00          21.54          
11        107.00         91.00          16.00          17.58          
12        96.00          78.00          18.00          23.08          
13        62.00          43.00          19.00          44.19          
14        107.00         88.00          19.00          21.59          
15        113.00         94.00          19.00          20.21          
16        105.00         88.00          17.00          19.32          
17        81.00          57.00          24.00          42.11          
18        73.00          60.00          13.00          21.67          
19        78.00          61.00          17.00          27.87          
20        89.00          56.00          33.00          58.93          
21        90.00          73.00          17.00          23.29          
22        88.00          70.00          18.00          25.71          
23        82.00          55.00          27.00          49.09          
24        99.00          76.00          23.00          30.26          
25        84.00          76.00          8.00           10.53          
26        55.00          43.00          12.00          27.91          
27        89.00          69.00          20.00          28.99          
28        92.00          72.00          20.00          27.78          
29        78.00          66.00          12.00          18.18          
30        98.00          80.00          18.00          22.50          
31        104.00         88.00          16.00          18.18          
32        104.00         80.00          24.00          30.00          
33        86.00          68.00          18.00          26.47          
34        83.00          66.00          17.00          25.76          
35        92.00          73.00          19.00          26.03          
36        94.00          76.00          18.00          23.68          
37        72.00          58.00          14.00          24.14          
38        102.00         77.00          25.00          32.47          
39        96.00          82.00          14.00          17.07          
40        81.00          72.00          9.00           12.50          
41        105.00         83.00          22.00          26.51          
42        85.00          73.00          12.00          16.44          
43        78.00          65.00          13.00          20.00          
44        88.00          69.00          19.00          27.54          
45        85.00          55.00          30.00          54.55          
46        79.00          71.00          8.00           11.27          
47        109.00         87.00          22.00          25.29          
48        95.00          73.00          22.00          30.14          
49        84.00          64.00          20.00          31.25          
