Error Distribution Results
Graph Size: 2390
Number of Instances: 50

Error Statistics:
Mean Error: nan
Std Error: nan
Mean Relative Error: nan%
Max Relative Error: nan%

Instance  GA             Exact          Error          Relative Error %
0         67.00          51.00          16.00          31.37          
1         80.00          74.00          6.00           8.11           
2         91.00          85.00          6.00           7.06           
3         80.00          62.00          18.00          29.03          
4         65.00          51.00          14.00          27.45          
5         99.00          74.00          25.00          33.78          
6         47.00          35.00          12.00          34.29          
7         70.00          34.00          36.00          105.88         
8         53.00          41.00          12.00          29.27          
9         95.00          67.00          28.00          41.79          
10        121.00         101.00         20.00          19.80          
11        80.00          67.00          13.00          19.40          
12        72.00          55.00          17.00          30.91          
13        62.00          52.00          10.00          19.23          
14        68.00          51.00          17.00          33.33          
15        94.00          72.00          22.00          30.56          
16        68.00          61.00          7.00           11.48          
17        83.00          53.00          30.00          56.60          
18        71.00          62.00          9.00           14.52          
19        90.00          81.00          9.00           11.11          
20        114.00         98.00          16.00          16.33          
21        66.00          44.00          22.00          50.00          
22        82.00          72.00          10.00          13.89          
23        132.00         112.00         20.00          17.86          
24        86.00          55.00          31.00          56.36          
25        80.00          56.00          24.00          42.86          
26        64.00          51.00          13.00          25.49          
27        76.00          66.00          10.00          15.15          
28        80.00          71.00          9.00           12.68          
29        92.00          76.00          16.00          21.05          
30        111.00         82.00          29.00          35.37          
31        71.00          52.00          19.00          36.54          
32        80.00          66.00          14.00          21.21          
33        85.00          67.00          18.00          26.87          
34        79.00          60.00          19.00          31.67          
35        112.00         94.00          18.00          19.15          
36        74.00          46.00          28.00          60.87          
37        62.00          50.00          12.00          24.00          
38        53.00          46.00          7.00           15.22          
39        75.00          64.00          11.00          17.19          
40        78.00          64.00          14.00          21.88          
41        78.00          69.00          9.00           13.04          
42        88.00          74.00          14.00          18.92          
43        53.00          44.00          9.00           20.45          
44        inf            inf            nan            nan            
45        93.00          82.00          11.00          13.41          
46        105.00         80.00          25.00          31.25          
47        93.00          75.00          18.00          24.00          
48        82.00          59.00          23.00          38.98          
49        104.00         91.00          13.00          14.29          
