Error Distribution Results
Graph Size: 3002
Number of Instances: 50

Error Statistics:
Mean Error: nan
Std Error: nan
Mean Relative Error: nan%
Max Relative Error: nan%

Instance  GA             Exact          Error          Relative Error %
0         95.00          81.00          14.00          17.28          
1         68.00          48.00          20.00          41.67          
2         86.00          74.00          12.00          16.22          
3         94.00          83.00          11.00          13.25          
4         67.00          53.00          14.00          26.42          
5         107.00         82.00          25.00          30.49          
6         97.00          77.00          20.00          25.97          
7         78.00          70.00          8.00           11.43          
8         84.00          65.00          19.00          29.23          
9         81.00          72.00          9.00           12.50          
10        103.00         71.00          32.00          45.07          
11        100.00         86.00          14.00          16.28          
12        77.00          66.00          11.00          16.67          
13        77.00          52.00          25.00          48.08          
14        85.00          67.00          18.00          26.87          
15        69.00          51.00          18.00          35.29          
16        101.00         85.00          16.00          18.82          
17        102.00         86.00          16.00          18.60          
18        73.00          57.00          16.00          28.07          
19        89.00          65.00          24.00          36.92          
20        116.00         97.00          19.00          19.59          
21        97.00          56.00          41.00          73.21          
22        inf            inf            nan            nan            
23        86.00          67.00          19.00          28.36          
24        98.00          73.00          25.00          34.25          
25        113.00         91.00          22.00          24.18          
26        inf            inf            nan            nan            
27        81.00          60.00          21.00          35.00          
28        88.00          69.00          19.00          27.54          
29        99.00          81.00          18.00          22.22          
30        94.00          69.00          25.00          36.23          
31        73.00          52.00          21.00          40.38          
32        107.00         88.00          19.00          21.59          
33        100.00         83.00          17.00          20.48          
34        93.00          69.00          24.00          34.78          
35        56.00          48.00          8.00           16.67          
36        90.00          49.00          41.00          83.67          
37        92.00          78.00          14.00          17.95          
38        89.00          70.00          19.00          27.14          
39        inf            inf            nan            nan            
40        76.00          58.00          18.00          31.03          
41        71.00          66.00          5.00           7.58           
42        82.00          73.00          9.00           12.33          
43        111.00         92.00          19.00          20.65          
44        71.00          40.00          31.00          77.50          
45        104.00         87.00          17.00          19.54          
46        76.00          58.00          18.00          31.03          
47        106.00         84.00          22.00          26.19          
48        75.00          62.00          13.00          20.97          
49        94.00          83.00          11.00          13.25          
