Error Distribution Results
Graph Size: 10
Number of Instances: 50

Error Statistics:
Mean Error: inf
Std Error: nan
Mean Relative Error: inf%
Max Relative Error: inf%

Instance  GA             Exact          Error          Relative Error %
0         18.67          11.30          7.36           65.17          
1         inf            12.22          inf            inf            
2         inf            8.08           inf            inf            
3         10.76          10.76          0.00           0.00           
4         inf            11.05          inf            inf            
5         inf            11.07          inf            inf            
6         10.14          6.26           3.88           61.96          
7         inf            10.28          inf            inf            
8         inf            10.75          inf            inf            
9         11.16          7.72           3.44           44.64          
10        inf            7.75           inf            inf            
11        inf            8.97           inf            inf            
12        16.25          9.63           6.62           68.75          
13        inf            10.49          inf            inf            
14        inf            13.51          inf            inf            
15        inf            10.54          inf            inf            
16        inf            11.24          inf            inf            
17        inf            9.61           inf            inf            
18        inf            12.66          inf            inf            
19        inf            12.86          inf            inf            
20        inf            9.42           inf            inf            
21        inf            10.40          inf            inf            
22        inf            12.08          inf            inf            
23        inf            7.97           inf            inf            
24        12.30          12.30          0.00           0.00           
25        inf            16.26          inf            inf            
26        inf            8.32           inf            inf            
27        inf            8.22           inf            inf            
28        inf            7.59           inf            inf            
29        inf            11.41          inf            inf            
30        inf            13.08          inf            inf            
31        inf            9.65           inf            inf            
32        inf            12.25          inf            inf            
33        inf            12.18          inf            inf            
34        inf            7.87           inf            inf            
35        inf            9.61           inf            inf            
36        inf            10.80          inf            inf            
37        inf            8.42           inf            inf            
38        10.76          10.04          0.71           7.09           
39        inf            5.64           inf            inf            
40        inf            12.68          inf            inf            
41        inf            13.78          inf            inf            
42        inf            8.45           inf            inf            
43        inf            11.68          inf            inf            
44        inf            10.47          inf            inf            
45        inf            10.00          inf            inf            
46        inf            9.74           inf            inf            
47        inf            9.69           inf            inf            
48        inf            9.41           inf            inf            
49        inf            12.08          inf            inf            
