Error Distribution Results
Graph Size: 25
Number of Instances: 50

Error Statistics:
Mean Error: 3.0812
Std Error: 1.8392
Mean Relative Error: 37.27%
Max Relative Error: 130.04%

Instance  GA             Exact          Error          Relative Error %
0         15.90          9.97           5.93           59.46          
1         9.40           7.46           1.94           25.99          
2         10.77          8.17           2.60           31.82          
3         10.09          10.09          0.00           0.00           
4         8.55           8.36           0.19           2.30           
5         10.35          8.45           1.89           22.41          
6         11.89          6.64           5.25           79.00          
7         13.65          9.79           3.85           39.36          
8         12.30          6.61           5.69           86.03          
9         8.41           8.36           0.06           0.66           
10        10.32          9.69           0.63           6.52           
11        12.00          10.62          1.37           12.92          
12        11.87          10.94          0.93           8.52           
13        12.87          9.85           3.02           30.71          
14        10.31          8.02           2.29           28.54          
15        11.43          8.67           2.76           31.87          
16        12.00          8.81           3.18           36.14          
17        15.70          11.14          4.55           40.84          
18        12.19          10.26          1.93           18.84          
19        12.94          11.04          1.90           17.21          
20        12.24          9.26           2.98           32.21          
21        13.38          10.71          2.66           24.86          
22        14.20          9.23           4.98           53.93          
23        12.11          10.88          1.23           11.31          
24        13.71          8.01           5.70           71.18          
25        5.71           4.69           1.02           21.63          
26        15.69          12.45          3.25           26.08          
27        9.04           8.72           0.32           3.65           
28        12.95          10.29          2.65           25.78          
29        10.66          7.87           2.79           35.49          
30        10.66          6.59           4.07           61.82          
31        11.96          8.08           3.88           48.03          
32        12.11          9.57           2.55           26.62          
33        14.02          8.85           5.17           58.37          
34        13.25          10.87          2.38           21.91          
35        14.38          10.31          4.07           39.49          
36        9.65           6.86           2.80           40.78          
37        13.92          6.05           7.87           130.04         
38        11.43          5.33           6.10           114.53         
39        11.65          9.16           2.50           27.28          
40        11.17          9.58           1.59           16.57          
41        12.63          9.83           2.80           28.47          
42        12.17          7.59           4.58           60.33          
43        13.33          10.56          2.77           26.27          
44        15.00          10.82          4.17           38.56          
45        15.95          10.03          5.92           59.02          
46        9.34           8.00           1.34           16.76          
47        12.32          7.20           5.11           70.96          
48        13.10          7.23           5.88           81.27          
49        9.49           8.54           0.96           11.19          
