Fitness Progress Results
Population Size: 50
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           inf         inf         6.60        nan         
1           18.74       13.81       6.60        1.66        
2           17.90       13.74       6.60        1.60        
3           17.50       13.70       6.60        1.57        
4           17.39       13.65       6.60        1.55        
5           17.12       13.61       6.60        1.52        
6           16.47       13.56       6.60        1.50        
7           16.43       13.52       6.60        1.47        
8           16.25       13.48       6.60        1.46        
9           16.25       13.42       6.60        1.45        
10          16.16       13.38       6.60        1.44        
11          16.16       13.34       6.60        1.42        
12          16.02       13.31       6.60        1.41        
13          15.98       13.28       6.60        1.40        
14          15.94       13.25       6.60        1.40        
15          15.93       13.22       6.60        1.38        
16          15.65       13.18       6.60        1.37        
17          15.62       13.15       6.60        1.37        
18          15.57       13.12       6.60        1.35        
19          15.57       13.09       6.60        1.35        
20          15.54       13.07       6.60        1.34        
21          15.50       13.04       6.60        1.33        
22          15.48       13.02       6.60        1.32        
23          15.46       12.98       6.60        1.33        
24          15.38       12.96       6.60        1.33        
25          15.36       12.93       6.60        1.33        
26          15.29       12.90       6.60        1.32        
27          15.28       12.88       6.60        1.32        
28          15.23       12.86       6.60        1.31        
29          15.16       12.83       6.60        1.30        
30          15.16       12.81       6.60        1.30        
31          15.15       12.79       6.60        1.29        
32          15.11       12.77       6.60        1.28        
33          15.11       12.75       6.60        1.28        
34          15.11       12.72       6.60        1.28        
35          15.11       12.70       6.60        1.28        
36          15.08       12.67       6.60        1.28        
37          15.08       12.65       6.60        1.27        
38          15.04       12.63       6.60        1.27        
39          15.03       12.60       6.60        1.27        
40          15.02       12.58       6.60        1.26        
41          14.96       12.56       6.60        1.26        
42          14.93       12.54       6.60        1.25        
43          14.90       12.52       6.60        1.25        
44          14.84       12.49       6.60        1.25        
45          14.81       12.47       6.60        1.24        
46          14.80       12.45       6.60        1.24        
47          14.80       12.43       6.60        1.24        
48          14.72       12.42       6.60        1.24        
49          14.72       12.40       6.60        1.23        
50          14.72       12.39       6.60        1.23        
51          14.70       12.38       6.60        1.22        
52          14.70       12.36       6.60        1.22        
