Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
0           inf         inf         9.14        nan         
1           inf         inf         9.14        nan         
2           17.44       13.57       8.63        1.50        
3           17.33       13.38       8.63        1.44        
4           16.32       13.26       8.63        1.38        
5           16.12       13.11       8.63        1.34        
6           16.09       13.00       8.63        1.29        
7           15.34       12.88       7.02        1.28        
8           15.23       12.75       5.73        1.30        
9           15.09       12.67       5.73        1.28        
10          15.09       12.60       5.73        1.25        
11          14.98       12.52       5.73        1.24        
12          14.71       12.44       5.73        1.21        
13          14.71       12.38       5.73        1.19        
14          14.64       12.33       5.73        1.17        
15          14.44       12.25       5.73        1.16        
16          14.32       12.16       5.73        1.16        
17          14.32       12.09       5.73        1.13        
18          14.32       12.07       5.73        1.12        
19          14.24       12.03       5.73        1.12        
20          14.24       11.99       5.73        1.11        
21          14.24       11.95       5.73        1.10        
22          14.09       11.89       5.73        1.10        
23          14.09       11.87       5.73        1.09        
24          13.72       11.82       5.73        1.09        
25          13.68       11.78       5.73        1.08        
26          13.59       11.73       5.73        1.08        
27          13.59       11.69       5.73        1.07        
28          13.59       11.65       5.73        1.07        
29          13.59       11.61       5.73        1.08        
30          13.44       11.56       5.73        1.08        
31          13.44       11.51       5.73        1.09        
32          13.36       11.47       5.73        1.10        
33          13.29       11.42       5.73        1.10        
34          13.29       11.39       5.73        1.10        
35          13.21       11.35       5.73        1.11        
36          13.21       11.31       5.73        1.10        
37          13.21       11.28       5.73        1.09        
38          13.11       11.25       5.73        1.10        
39          13.11       11.20       5.73        1.10        
40          13.08       11.17       5.73        1.09        
41          13.08       11.13       5.73        1.08        
42          13.08       11.10       5.73        1.09        
43          13.08       11.08       5.73        1.10        
44          13.03       11.05       5.73        1.10        
45          13.03       11.03       5.73        1.09        
46          12.93       11.01       5.73        1.09        
47          12.93       10.97       5.73        1.10        
48          12.93       10.94       5.73        1.09        
49          12.93       10.92       5.73        1.09        
50          12.87       10.90       5.73        1.09        
